pre,k
4230.554758945517,1
4168.944273480729,2
4141.506181066353,3
4119.561658902753,4
4102.46959547211,5
4097.816406798813,6
4074.2886253119527,7
4082.0427247760913,8
4087.1257660878873,9
4055.768292127864,10
4048.765928037442,11
4038.957829969831,12
4071.2631229484637,13
4067.004519199269,14
4020.109317156809,15
4015.6712869334156,16
4020.6603919981335,17
3998.93139570964,18
4007.50410864569,19
3996.2114835859834,20
3985.9135193757443,21
3978.2431833579267,22
3966.501843648586,23
3954.210484152167,24
3941.9452901588857,25
3958.534553688905,26
3938.8989299254554,27
3940.8964720995295,28
3930.5426710229126,29
3941.802154581159,30
3941.2082739077587,31
3942.7426082269453,32
