pre,pre_std,k
28604473.749667965,3.4846899907793303e-09,1
25449498.440574042,497845.71545007575,2
22910270.424942553,624008.532214358,3
21455349.865640886,123241.89114171638,4
20577668.907550253,263307.462102432,5
19687608.896084912,475887.31702274573,6
18926133.496266447,303805.28474097146,7
18239825.77095352,238053.67510647664,8
17699361.181628525,250245.2952912472,9
17341076.79063443,244814.21890558497,10
16912230.476041082,119526.04702435424,11
16732656.76805628,178568.1979917672,12
16267987.418458851,130869.61142533857,13
15973682.280409362,151699.71640307992,14
15606391.414868066,186804.19865671266,15
15432275.049944058,285813.827867974,16
15261677.963594338,183891.0660592221,17
15028414.7040939,245354.94281765434,18
14783724.484657042,180933.0157716605,19
14540510.942276694,166441.53188589946,20
14259320.999956388,157355.41274766976,21
14059968.97897272,126098.9192096956,22
13945612.777862497,226560.6158005272,23
13643874.357558541,181564.49163758848,24
13502613.33948737,184040.7196841667,25
13352840.419326108,169624.15378557812,26
13215244.991814312,158279.54234620353,27
13009540.257526144,172350.47678721932,28
12951384.783960827,155070.43833833883,29
12842375.411377147,132788.6944277929,30
12689077.894210964,80070.72265565637,31
12674999.529093992,189699.3426708665,32
