pre,k
3595.143720634394,1
3364.3230623530085,2
3169.7545338025457,3
3105.374402023936,4
3007.9166057986,5
2985.23226033755,6
2964.863914855059,7
2896.228966876623,8
2846.0209679172353,9
2827.4269237684734,10
2820.6779692125356,11
2756.578875413673,12
2723.378932744384,13
2693.083261715367,14
2703.9230106812515,15
2751.199551614456,16
2677.272159155116,17
2652.438643565461,18
2650.6211655153375,19
2633.1926934103676,20
2609.913838471252,21
2586.6183660429724,22
2570.24875423268,23
2562.670654573674,24
2586.875607322359,25
2578.6398236290524,26
2538.2883667286833,27
2548.671553073502,28
2507.2810297131973,29
2536.6207989893846,30
2519.7146479890957,31
2537.9563944001584,32
