pre,k
3650.882869762481,1
3372.8166548001805,2
3199.349223789497,3
2947.326418379842,4
2820.1621731628948,5
2767.1835150952093,6
2688.65435684779,7
2612.902189154051,8
2570.426161935729,9
2484.6510681902564,10
2482.220337279168,11
2591.775305036701,12
2401.056754468097,13
2400.1348462485075,14
2354.6987778446855,15
2314.6862144171946,16
2365.179017248976,17
2266.0855611499687,18
2265.0244222981128,19
2285.9882985601726,20
2240.8760186274635,21
2229.154281904996,22
2234.3715772506553,23
2188.2751032042897,24
2172.7774062238145,25
2149.358340025345,26
2124.189881562157,27
2098.2791634728383,28
2121.3483040874025,29
2090.236707989286,30
2081.1132985265335,31
2082.205816919967,32
