pre,k
3639.7063139698707,1
3559.9698117096077,2
3532.3631519362325,3
3508.714382126938,4
3456.8429711297317,5
3452.123376916669,6
3429.9243485723896,7
3373.3458171740463,8
3385.706326320579,9
3358.490933227493,10
3360.4704844296284,11
3347.893919479587,12
3321.9730761301857,13
3342.56670734268,14
3313.8040512276625,15
3335.643766359407,16
3320.3313734421968,17
3294.7982028481865,18
3295.9616014209455,19
3272.0025174446755,20
3274.5384270952336,21
3277.5638098748395,22
3263.3292939281,23
3264.9329765676016,24
3266.622189247917,25
3244.5984334320565,26
3255.0445079104097,27
3240.005146163577,28
3241.8592212177937,29
3242.0732690766945,30
3232.3878256434728,31
3219.7846210090615,32
