pre,pre_std,k
170346240.0,1.8250120749944284e-08,1
154483447.1784422,1288916.9292753004,2
141517680.63898468,1870250.908790555,3
133585360.51956664,168428.5979472051,4
130493856.69509143,1186666.7501970772,5
126681057.92412207,1672587.9904599315,6
122334383.81403719,503001.0107739131,7
120276992.61687434,959592.9128519549,8
