pre,k
3575.316086188044,1
3514.6527414438187,2
3490.8718691365584,3
3474.050047013553,4
3469.354202510186,5
3445.7617929014223,6
3445.0007992063306,7
3428.68692480593,8
3420.480290381728,9
3411.4529747394695,10
3408.740866489659,11
3417.2774172052527,12
3411.991579587302,13
3393.8561825320503,14
3391.3193121275535,15
3387.9059307431617,16
3384.292168353414,17
3382.808266850011,18
3378.226351264654,19
3370.307709554771,20
3360.6144403016456,21
3356.5380880562184,22
3360.1587081099533,23
3360.1099797560714,24
3351.9212383140725,25
3343.53220510205,26
3361.7858971750816,27
3339.07425942268,28
3345.39666069798,29
3333.5844540557,30
3328.0048109964064,31
3337.4132394109997,32
