tsne0,tsne1,label,file_n,sample_n,file_name
-39.897667,-27.317623,kidney_-_cells_in_tubules_2,0,2244,kidney_-_cells_in_tubules_2_5000(5)
-44.617527,-31.51453,kidney_-_cells_in_tubules_2,0,2882,kidney_-_cells_in_tubules_2_5000(5)
-33.699387,-33.30616,kidney_-_cells_in_tubules_2,0,3235,kidney_-_cells_in_tubules_2_5000(5)
-35.436424,-29.568825,kidney_-_cells_in_tubules_2,0,302,kidney_-_cells_in_tubules_2_5000(5)
-41.011597,-29.997055,kidney_-_cells_in_tubules_2,0,1921,kidney_-_cells_in_tubules_2_5000(5)
-44.035732,-32.16301,kidney_-_cells_in_tubules_2,0,4402,kidney_-_cells_in_tubules_2_5000(5)
-36.604008,-32.05036,kidney_-_cells_in_tubules_2,0,1687,kidney_-_cells_in_tubules_2_5000(5)
-45.18207,-31.015268,kidney_-_cells_in_tubules_2,0,333,kidney_-_cells_in_tubules_2_5000(5)
-41.88228,-27.840979,kidney_-_cells_in_tubules_2,0,1329,kidney_-_cells_in_tubules_2_5000(5)
-36.910637,-31.324062,kidney_-_cells_in_tubules_2,0,2788,kidney_-_cells_in_tubules_2_5000(5)
-41.78536,-29.189808,kidney_-_cells_in_tubules_2,0,3832,kidney_-_cells_in_tubules_2_5000(5)
-33.616592,-34.080116,kidney_-_cells_in_tubules_2,0,3391,kidney_-_cells_in_tubules_2_5000(5)
-35.285034,-29.637455,kidney_-_cells_in_tubules_2,0,291,kidney_-_cells_in_tubules_2_5000(5)
-34.94036,-28.239407,kidney_-_cells_in_tubules_2,0,4975,kidney_-_cells_in_tubules_2_5000(5)
-31.380726,-28.955229,kidney_-_cells_in_tubules_2,0,2592,kidney_-_cells_in_tubules_2_5000(5)
-35.69849,-30.013893,kidney_-_cells_in_tubules_2,0,3775,kidney_-_cells_in_tubules_2_5000(5)
-36.39868,-27.772665,kidney_-_cells_in_tubules_2,0,2013,kidney_-_cells_in_tubules_2_5000(5)
-33.690567,-32.814915,kidney_-_cells_in_tubules_2,0,3229,kidney_-_cells_in_tubules_2_5000(5)
-43.946514,-32.22158,kidney_-_cells_in_tubules_2,0,4411,kidney_-_cells_in_tubules_2_5000(5)
-35.87999,-29.388247,kidney_-_cells_in_tubules_2,0,4945,kidney_-_cells_in_tubules_2_5000(5)
-37.04557,-30.789557,kidney_-_cells_in_tubules_2,0,1001,kidney_-_cells_in_tubules_2_5000(5)
-44.190525,-30.629192,kidney_-_cells_in_tubules_2,0,4871,kidney_-_cells_in_tubules_2_5000(5)
-37.55261,-31.145634,kidney_-_cells_in_tubules_2,0,1428,kidney_-_cells_in_tubules_2_5000(5)
-36.166904,-29.355211,kidney_-_cells_in_tubules_2,0,4960,kidney_-_cells_in_tubules_2_5000(5)
-42.426857,-31.028229,kidney_-_cells_in_tubules_2,0,1119,kidney_-_cells_in_tubules_2_5000(5)
-36.46998,-29.325829,kidney_-_cells_in_tubules_2,0,4951,kidney_-_cells_in_tubules_2_5000(5)
-40.389828,-32.196136,kidney_-_cells_in_tubules_2,0,2819,kidney_-_cells_in_tubules_2_5000(5)
-36.3665,-27.64748,kidney_-_cells_in_tubules_2,0,2009,kidney_-_cells_in_tubules_2_5000(5)
-45.195877,-31.39064,kidney_-_cells_in_tubules_2,0,4441,kidney_-_cells_in_tubules_2_5000(5)
-41.413467,-31.692945,kidney_-_cells_in_tubules_2,0,520,kidney_-_cells_in_tubules_2_5000(5)
-40.564194,-30.008863,kidney_-_cells_in_tubules_2,0,4086,kidney_-_cells_in_tubules_2_5000(5)
-34.46992,-31.34024,kidney_-_cells_in_tubules_2,0,2314,kidney_-_cells_in_tubules_2_5000(5)
-35.834576,-32.6626,kidney_-_cells_in_tubules_2,0,4365,kidney_-_cells_in_tubules_2_5000(5)
-45.20867,-31.807646,kidney_-_cells_in_tubules_2,0,1237,kidney_-_cells_in_tubules_2_5000(5)
-39.07587,-27.355669,kidney_-_cells_in_tubules_2,0,4528,kidney_-_cells_in_tubules_2_5000(5)
-33.010963,-28.608702,kidney_-_cells_in_tubules_2,0,1800,kidney_-_cells_in_tubules_2_5000(5)
-41.260822,-33.817375,kidney_-_cells_in_tubules_2,0,1951,kidney_-_cells_in_tubules_2_5000(5)
-32.93171,-33.9505,kidney_-_cells_in_tubules_2,0,2620,kidney_-_cells_in_tubules_2_5000(5)
-41.265644,-31.938148,kidney_-_cells_in_tubules_2,0,3282,kidney_-_cells_in_tubules_2_5000(5)
15.016904,12.694587,kidney_-_cells_in_tubules_2,0,499,kidney_-_cells_in_tubules_2_5000(5)
-42.73317,-32.78744,kidney_-_cells_in_tubules_2,0,4891,kidney_-_cells_in_tubules_2_5000(5)
-42.440598,-28.880367,kidney_-_cells_in_tubules_2,0,3842,kidney_-_cells_in_tubules_2_5000(5)
-41.637875,-31.409628,kidney_-_cells_in_tubules_2,0,138,kidney_-_cells_in_tubules_2_5000(5)
-37.32095,-30.625113,kidney_-_cells_in_tubules_2,0,1831,kidney_-_cells_in_tubules_2_5000(5)
-45.02855,-30.973629,kidney_-_cells_in_tubules_2,0,3706,kidney_-_cells_in_tubules_2_5000(5)
-45.01822,-31.632504,kidney_-_cells_in_tubules_2,0,2964,kidney_-_cells_in_tubules_2_5000(5)
-35.27743,-27.700449,kidney_-_cells_in_tubules_2,0,4852,kidney_-_cells_in_tubules_2_5000(5)
-41.19286,-28.609236,kidney_-_cells_in_tubules_2,0,3755,kidney_-_cells_in_tubules_2_5000(5)
-38.71474,-31.350847,kidney_-_cells_in_tubules_2,0,1432,kidney_-_cells_in_tubules_2_5000(5)
-41.515545,-27.739693,kidney_-_cells_in_tubules_2,0,39,kidney_-_cells_in_tubules_2_5000(5)
-36.95883,-28.841507,kidney_-_cells_in_tubules_2,0,4194,kidney_-_cells_in_tubules_2_5000(5)
-36.148483,-26.791435,kidney_-_cells_in_tubules_2,0,2062,kidney_-_cells_in_tubules_2_5000(5)
-38.58776,-31.890928,kidney_-_cells_in_tubules_2,0,1969,kidney_-_cells_in_tubules_2_5000(5)
-41.79557,-31.486359,kidney_-_cells_in_tubules_2,0,308,kidney_-_cells_in_tubules_2_5000(5)
-39.86924,-32.33752,kidney_-_cells_in_tubules_2,0,3172,kidney_-_cells_in_tubules_2_5000(5)
-40.63579,-32.54839,kidney_-_cells_in_tubules_2,0,4281,kidney_-_cells_in_tubules_2_5000(5)
-43.060127,-27.36659,kidney_-_cells_in_tubules_2,0,3479,kidney_-_cells_in_tubules_2_5000(5)
-43.674435,-31.452702,kidney_-_cells_in_tubules_2,0,4256,kidney_-_cells_in_tubules_2_5000(5)
-41.038727,-31.07631,kidney_-_cells_in_tubules_2,0,4319,kidney_-_cells_in_tubules_2_5000(5)
-37.002563,-28.563644,kidney_-_cells_in_tubules_2,0,4166,kidney_-_cells_in_tubules_2_5000(5)
-39.007835,-29.046345,kidney_-_cells_in_tubules_2,0,2709,kidney_-_cells_in_tubules_2_5000(5)
-40.80767,-31.208323,kidney_-_cells_in_tubules_2,0,906,kidney_-_cells_in_tubules_2_5000(5)
-39.6244,-27.588375,kidney_-_cells_in_tubules_2,0,4473,kidney_-_cells_in_tubules_2_5000(5)
-39.31304,-28.202263,kidney_-_cells_in_tubules_2,0,2951,kidney_-_cells_in_tubules_2_5000(5)
-34.052673,-34.70369,kidney_-_cells_in_tubules_2,0,3936,kidney_-_cells_in_tubules_2_5000(5)
-42.004982,-30.387783,kidney_-_cells_in_tubules_2,0,3058,kidney_-_cells_in_tubules_2_5000(5)
-41.883553,-30.273224,kidney_-_cells_in_tubules_2,0,2858,kidney_-_cells_in_tubules_2_5000(5)
-33.564873,-33.090267,kidney_-_cells_in_tubules_2,0,3237,kidney_-_cells_in_tubules_2_5000(5)
-44.26877,-30.770527,kidney_-_cells_in_tubules_2,0,1521,kidney_-_cells_in_tubules_2_5000(5)
-33.164455,-32.837887,kidney_-_cells_in_tubules_2,0,861,kidney_-_cells_in_tubules_2_5000(5)
-41.64859,-32.173847,kidney_-_cells_in_tubules_2,0,942,kidney_-_cells_in_tubules_2_5000(5)
-39.5031,-33.45657,kidney_-_cells_in_tubules_2,0,2307,kidney_-_cells_in_tubules_2_5000(5)
-42.475746,-29.345098,kidney_-_cells_in_tubules_2,0,3865,kidney_-_cells_in_tubules_2_5000(5)
-39.942665,-27.608751,kidney_-_cells_in_tubules_2,0,2551,kidney_-_cells_in_tubules_2_5000(5)
-36.093082,-26.78756,kidney_-_cells_in_tubules_2,0,2044,kidney_-_cells_in_tubules_2_5000(5)
-35.74359,-31.741982,kidney_-_cells_in_tubules_2,0,1688,kidney_-_cells_in_tubules_2_5000(5)
-39.90139,-36.29266,kidney_-_cells_in_tubules_2,0,4860,kidney_-_cells_in_tubules_2_5000(5)
-40.867325,-32.0903,kidney_-_cells_in_tubules_2,0,4276,kidney_-_cells_in_tubules_2_5000(5)
-35.92177,-34.63007,kidney_-_cells_in_tubules_2,0,3318,kidney_-_cells_in_tubules_2_5000(5)
-39.831123,-27.818762,kidney_-_cells_in_tubules_2,0,2734,kidney_-_cells_in_tubules_2_5000(5)
-41.621548,-31.065552,kidney_-_cells_in_tubules_2,0,1888,kidney_-_cells_in_tubules_2_5000(5)
-45.223213,-31.587011,kidney_-_cells_in_tubules_2,0,1551,kidney_-_cells_in_tubules_2_5000(5)
-37.72398,-29.73365,kidney_-_cells_in_tubules_2,0,562,kidney_-_cells_in_tubules_2_5000(5)
-36.37552,-27.665537,kidney_-_cells_in_tubules_2,0,2017,kidney_-_cells_in_tubules_2_5000(5)
-44.291965,-30.783133,kidney_-_cells_in_tubules_2,0,1523,kidney_-_cells_in_tubules_2_5000(5)
-41.612247,-32.108044,kidney_-_cells_in_tubules_2,0,159,kidney_-_cells_in_tubules_2_5000(5)
-35.06371,-27.852606,kidney_-_cells_in_tubules_2,0,4837,kidney_-_cells_in_tubules_2_5000(5)
-31.362175,-28.915798,kidney_-_cells_in_tubules_2,0,4050,kidney_-_cells_in_tubules_2_5000(5)
-42.20827,-32.051556,kidney_-_cells_in_tubules_2,0,134,kidney_-_cells_in_tubules_2_5000(5)
-42.479458,-33.03964,kidney_-_cells_in_tubules_2,0,463,kidney_-_cells_in_tubules_2_5000(5)
-42.970375,-27.413233,kidney_-_cells_in_tubules_2,0,3482,kidney_-_cells_in_tubules_2_5000(5)
-43.491806,-31.13034,kidney_-_cells_in_tubules_2,0,690,kidney_-_cells_in_tubules_2_5000(5)
-34.550655,-30.800787,kidney_-_cells_in_tubules_2,0,1761,kidney_-_cells_in_tubules_2_5000(5)
-36.21675,-30.608997,kidney_-_cells_in_tubules_2,0,1414,kidney_-_cells_in_tubules_2_5000(5)
-42.997242,-27.465733,kidney_-_cells_in_tubules_2,0,3491,kidney_-_cells_in_tubules_2_5000(5)
-36.028515,-26.915617,kidney_-_cells_in_tubules_2,0,2070,kidney_-_cells_in_tubules_2_5000(5)
-35.892323,-34.937458,kidney_-_cells_in_tubules_2,0,3967,kidney_-_cells_in_tubules_2_5000(5)
-42.07259,-29.252977,kidney_-_cells_in_tubules_2,0,2812,kidney_-_cells_in_tubules_2_5000(5)
-41.507744,-29.952135,kidney_-_cells_in_tubules_2,0,4608,kidney_-_cells_in_tubules_2_5000(5)
-35.846603,-34.489956,kidney_-_cells_in_tubules_2,0,3320,kidney_-_cells_in_tubules_2_5000(5)
39.507637,28.632795,skin_-_melanocytes_2,1,2244,skin_-_melanocytes_2_5000(4)
39.27415,29.449173,skin_-_melanocytes_2,1,2882,skin_-_melanocytes_2_5000(4)
40.548046,20.402067,skin_-_melanocytes_2,1,3235,skin_-_melanocytes_2_5000(4)
41.067146,29.543804,skin_-_melanocytes_2,1,302,skin_-_melanocytes_2_5000(4)
37.165874,22.364,skin_-_melanocytes_2,1,1921,skin_-_melanocytes_2_5000(4)
35.501556,24.693432,skin_-_melanocytes_2,1,4402,skin_-_melanocytes_2_5000(4)
39.129173,28.091835,skin_-_melanocytes_2,1,1687,skin_-_melanocytes_2_5000(4)
39.03076,20.524704,skin_-_melanocytes_2,1,333,skin_-_melanocytes_2_5000(4)
37.009106,27.788967,skin_-_melanocytes_2,1,1329,skin_-_melanocytes_2_5000(4)
40.030437,29.93228,skin_-_melanocytes_2,1,2788,skin_-_melanocytes_2_5000(4)
38.608006,21.30473,skin_-_melanocytes_2,1,3832,skin_-_melanocytes_2_5000(4)
37.643494,21.424604,skin_-_melanocytes_2,1,3391,skin_-_melanocytes_2_5000(4)
41.110344,29.680246,skin_-_melanocytes_2,1,291,skin_-_melanocytes_2_5000(4)
38.6176,28.02405,skin_-_melanocytes_2,1,4975,skin_-_melanocytes_2_5000(4)
37.098747,29.336626,skin_-_melanocytes_2,1,2592,skin_-_melanocytes_2_5000(4)
39.923855,24.844385,skin_-_melanocytes_2,1,3775,skin_-_melanocytes_2_5000(4)
42.34413,21.413221,skin_-_melanocytes_2,1,2013,skin_-_melanocytes_2_5000(4)
40.55868,20.383823,skin_-_melanocytes_2,1,3229,skin_-_melanocytes_2_5000(4)
37.25186,24.77673,skin_-_melanocytes_2,1,4411,skin_-_melanocytes_2_5000(4)
38.157333,28.947063,skin_-_melanocytes_2,1,4945,skin_-_melanocytes_2_5000(4)
36.825356,23.224976,skin_-_melanocytes_2,1,1001,skin_-_melanocytes_2_5000(4)
42.74632,23.936977,skin_-_melanocytes_2,1,4871,skin_-_melanocytes_2_5000(4)
35.537926,27.45909,skin_-_melanocytes_2,1,1428,skin_-_melanocytes_2_5000(4)
37.97991,28.909296,skin_-_melanocytes_2,1,4960,skin_-_melanocytes_2_5000(4)
36.06263,22.99145,skin_-_melanocytes_2,1,1119,skin_-_melanocytes_2_5000(4)
38.411358,29.001625,skin_-_melanocytes_2,1,4951,skin_-_melanocytes_2_5000(4)
39.72418,30.018705,skin_-_melanocytes_2,1,2819,skin_-_melanocytes_2_5000(4)
42.29093,21.42689,skin_-_melanocytes_2,1,2009,skin_-_melanocytes_2_5000(4)
35.687294,27.586594,skin_-_melanocytes_2,1,4441,skin_-_melanocytes_2_5000(4)
34.663578,24.956142,skin_-_melanocytes_2,1,520,skin_-_melanocytes_2_5000(4)
39.971615,22.501904,skin_-_melanocytes_2,1,4086,skin_-_melanocytes_2_5000(4)
37.301327,23.893833,skin_-_melanocytes_2,1,2314,skin_-_melanocytes_2_5000(4)
40.520916,18.855047,skin_-_melanocytes_2,1,4365,skin_-_melanocytes_2_5000(4)
38.813656,21.192865,skin_-_melanocytes_2,1,1237,skin_-_melanocytes_2_5000(4)
40.429733,24.050484,skin_-_melanocytes_2,1,4528,skin_-_melanocytes_2_5000(4)
36.487232,21.660824,skin_-_melanocytes_2,1,1800,skin_-_melanocytes_2_5000(4)
31.373077,28.702196,skin_-_melanocytes_2,1,1951,skin_-_melanocytes_2_5000(4)
40.626514,18.987679,skin_-_melanocytes_2,1,2620,skin_-_melanocytes_2_5000(4)
34.74752,24.079983,skin_-_melanocytes_2,1,3282,skin_-_melanocytes_2_5000(4)
36.04866,28.400614,skin_-_melanocytes_2,1,499,skin_-_melanocytes_2_5000(4)
36.433754,24.720007,skin_-_melanocytes_2,1,4891,skin_-_melanocytes_2_5000(4)
38.712555,20.9229,skin_-_melanocytes_2,1,3842,skin_-_melanocytes_2_5000(4)
32.968746,25.004362,skin_-_melanocytes_2,1,138,skin_-_melanocytes_2_5000(4)
36.986706,22.965061,skin_-_melanocytes_2,1,1831,skin_-_melanocytes_2_5000(4)
35.61057,22.001364,skin_-_melanocytes_2,1,3706,skin_-_melanocytes_2_5000(4)
38.256,25.798925,skin_-_melanocytes_2,1,2964,skin_-_melanocytes_2_5000(4)
40.100845,28.356716,skin_-_melanocytes_2,1,4852,skin_-_melanocytes_2_5000(4)
34.147945,26.644327,skin_-_melanocytes_2,1,3755,skin_-_melanocytes_2_5000(4)
35.555336,27.546892,skin_-_melanocytes_2,1,1432,skin_-_melanocytes_2_5000(4)
36.979282,20.29478,skin_-_melanocytes_2,1,39,skin_-_melanocytes_2_5000(4)
