epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,main_folder,losses_file,run
10,977.1060654999999,926.731375,50.3746965,0.0,2320.33366,2286.352075,33.9815768,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
11,866.7260614999999,815.500757,51.225295949999996,0.0,2299.35682,2264.870375,34.48644075,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
12,787.7053364999999,736.169327,51.53600874999999,0.0,2286.89678,2252.62197,34.2747874,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
13,718.8359505,667.175855,51.6600974,0.0,2268.09158,2233.49738,34.5942041,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
14,666.0407015,615.321389,50.71931945,0.0,2252.1606650000003,2217.95594,34.20471365,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
15,612.6229505,563.085153,49.537804449999996,0.0,2228.17523,2194.642225,33.53298615,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
16,577.3543895,529.1135155,48.24087725,0.0,2218.52679,2185.626605,32.900191899999996,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
17,541.7975220000001,494.26818549999996,47.5293321,0.0,2207.0056799999998,2174.422735,32.58294645,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
18,507.3825895,460.4992065,46.883376399999996,0.0,2188.85127,2156.280425,32.5708521,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
19,479.229377,433.346446,45.8829292,0.0,2170.33198,2138.365635,31.96632525,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/0/losses.csv,0
