epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,main_folder,losses_file,run
0,3560.9487500000005,3537.044905,23.90382955,0.0,3535.21742,3517.2150800000004,18.0023393,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0/losses.csv,0
1,3321.45291,3286.920245,34.53265705,0.0,3440.857555,3419.8185,21.0390615,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0/losses.csv,0
2,3024.283055,2990.618405,33.6646497,0.0,3370.7273350000005,3347.605635,23.1217111,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0/losses.csv,0
3,2756.406195,2717.721865,38.68429995,0.0,3318.696935,3293.88174,24.81519175,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0/losses.csv,0
4,2503.0931649999998,2458.0950550000002,44.99811485,0.0,3292.705915,3266.6231350000003,26.0827676,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0/losses.csv,0
5,2247.598,2195.23778,52.360239650000004,0.0,3266.5860000000002,3239.098485,27.48750655,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0/losses.csv,0
6,2021.526815,1963.94112,57.58569375,0.0,3244.93898,3216.5994849999997,28.3395374,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0/losses.csv,0
7,1847.076425,1787.5657299999998,59.51068255,0.0,3232.21777,3203.543495,28.67429235,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0/losses.csv,0
8,1699.860225,1639.269425,60.590810899999994,0.0,3214.028685,3185.070795,28.957896599999998,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0/losses.csv,0
9,1573.566965,1511.883455,61.68351474999999,0.0,3200.238715,3170.7974249999997,29.4413238,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,True,0,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_5000/runs/0/losses.csv,0
