epoch,loss,reconstruction_loss,divergence_loss,test_loss,test_rec,test_div
0,3935.365,3919.3315,16.033512,4257.5522,4241.4087,16.143682
0,5379.6147,5363.409,16.205372,4254.3843,4238.052,16.332447
0,4351.345,4334.9893,16.35615,4249.1235,4232.523,16.60079
0,4390.963,4374.246,16.716938,4237.7104,4220.6553,17.05534
0,4560.429,4542.8477,17.581781,4213.7183,4195.6997,18.018688
0,3890.356,3872.6606,17.695354,4167.546,4147.416,20.129824
0,3699.1313,3680.9055,18.22573,4082.7102,4057.377,25.333216
0,4442.658,4409.6694,32.988735,3981.1155,3938.1892,42.926292
0,4079.0232,4026.8901,52.133064,4045.5093,3935.1582,110.35117
0,3783.075,3681.2139,101.86108,3880.6917,3831.2847,49.406914
0,4047.414,3980.1702,67.243805,3826.404,3788.1475,38.256702
0,3617.4753,3561.3433,56.13202,3812.4995,3779.1814,33.318172
0,3621.9224,3583.913,38.00939,3803.1245,3772.0305,31.093994
0,3812.5178,3783.0664,29.451464,3792.4348,3762.2896,30.145351
0,3979.7622,3938.8977,40.86449,3783.6934,3753.8848,29.808704
0,3556.2007,3520.9087,35.29205,3781.1465,3751.6956,29.450838
0,3790.9097,3740.9546,49.955025,3783.91,3757.154,26.755749
0,3428.5952,3401.108,27.487398,3782.399,3756.8638,25.535189
0,3834.4333,3805.6724,28.761026,3776.85,3751.88,24.970196
0,3599.6567,3571.3013,28.35542,3767.4263,3742.4695,24.956842
0,3586.5645,3559.684,26.880493,3757.3313,3732.2705,25.060675
0,3625.09,3599.856,25.234213,3741.7122,3714.6904,27.021845
0,3441.3574,3414.2544,27.103102,3749.4736,3709.1238,40.349804
0,3281.094,3256.9546,24.139439,4014.2195,3890.6985,123.521095
0,4451.6567,4133.004,318.6529,3726.135,3701.5037,24.631329
0,3212.1267,3189.0088,23.117859,3764.745,3741.9465,22.798676
0,4087.8406,4063.1433,24.697214,3780.8967,3758.6042,22.292467
0,3260.989,3240.2527,20.736263,3786.686,3764.6187,22.067434
0,3548.9575,3521.8574,27.100056,3786.9727,3764.9404,22.032305
0,3797.8887,3770.1357,27.752941,3777.3848,3755.4746,21.91022
0,3306.8054,3285.1396,21.66567,3767.8635,3746.0244,21.839176
0,3716.3816,3694.6772,21.704334,3755.3494,3733.4487,21.900743
0,3676.1548,3651.5088,24.646057,3741.6335,3719.6658,21.967726
0,3476.7917,3457.5264,19.265476,3721.7122,3699.4604,22.251827
0,3374.6804,3349.1934,25.487036,3697.864,3675.316,22.548023
0,3341.4722,3320.815,20.65724,3672.86,3649.8416,23.018625
0,3281.8162,3255.7332,26.082975,3654.0454,3630.743,23.302496
0,3328.5022,3306.687,21.815134,3637.1895,3613.5017,23.687733
0,3143.648,3119.8855,23.762398,3620.5005,3596.4685,24.032087
0,3318.1045,3294.162,23.942413,3610.3206,3585.9236,24.39699
0,3647.8147,3622.0122,25.802406,3607.3171,3582.0713,25.245928
0,3379.395,3351.6362,27.758877,3597.947,3572.1248,25.822273
0,3371.4727,3342.0078,29.464813,3592.9136,3567.077,25.83668
0,3883.391,3852.9236,30.467648,3595.2546,3569.824,25.430609
0,3604.49,3578.6184,25.871468,3585.2373,3560.149,25.088501
0,3697.0098,3668.3162,28.693497,3572.8484,3547.9517,24.896673
0,3202.7676,3179.0125,23.755188,3566.5718,3541.7737,24.798113
0,3475.7922,3442.727,33.065292,3565.5776,3540.975,24.602425
0,3572.0674,3543.059,29.008408,3569.1375,3544.634,24.503304
0,3353.5127,3327.621,25.89148,3572.3782,3548.0393,24.33888
0,3633.1482,3607.1533,25.994823,3565.9368,3541.8152,24.121485
0,3438.5093,3410.8171,27.69202,3552.562,3528.4478,24.11435
0,3506.434,3478.645,27.789116,3548.55,3524.3267,24.223316
0,3395.092,3371.6948,23.397337,3546.2732,3521.933,24.34014
0,3346.796,3320.251,26.544996,3541.7625,3517.4128,24.34964
0,3413.4446,3384.3647,29.079807,3542.5747,3518.1077,24.46694
0,3562.3506,3534.707,27.643478,3542.105,3517.493,24.61196
0,3381.902,3356.0352,25.866943,3538.3699,3513.7742,24.595764
0,3671.5483,3647.3413,24.206934,3533.7178,3509.1506,24.567247
0,3221.4893,3194.808,26.68113,3533.4814,3509.0566,24.424713
0,3568.6926,3540.2246,28.46801,3532.3218,3508.1633,24.158464
0,3597.038,3568.79,28.248056,3531.898,3508.087,23.810965
0,3195.4429,3173.6082,21.834606,3535.1655,3511.526,23.639677
0,3188.2478,3164.2659,23.981857,3537.0955,3513.517,23.578302
0,3601.5544,3573.9849,27.569508,3532.0618,3508.3286,23.733217
0,3232.9158,3208.797,24.118603,3522.4592,3498.545,23.914284
0,3347.0327,3319.1357,27.896896,3525.489,3501.2627,24.226358
0,3308.5679,3286.0354,22.532589,3537.2583,3512.825,24.433271
0,3233.981,3208.44,25.541073,3536.7178,3512.2803,24.43743
0,3398.313,3373.338,24.975136,3523.7693,3499.5813,24.187916
0,3278.6284,3254.774,23.85449,3507.471,3483.5508,23.920256
0,3280.8308,3255.9436,24.887325,3503.6467,3480.0603,23.58636
0,3193.8386,3171.061,22.777645,3505.9202,3482.4753,23.44475
0,3060.4934,3037.8394,22.65408,3506.2488,3482.9194,23.329264
0,3159.9863,3136.7256,23.260666,3501.4817,3478.1814,23.300331
0,3633.0618,3605.7698,27.291967,3495.1611,3471.8552,23.305822
0,3162.8542,3137.2397,25.61459,3493.0198,3469.6973,23.322466
0,3254.8105,3231.6396,23.171013,3493.806,3470.3967,23.409267
0,3344.6729,3318.086,26.58686,3490.0862,3466.6897,23.396414
0,3209.7195,3187.615,22.104404,3488.8635,3465.4436,23.420038
0,3358.9954,3331.6646,27.330748,3486.01,3462.5464,23.463665
0,3375.9006,3349.5027,26.398067,3480.0598,3456.6086,23.451195
0,3397.8723,3369.084,28.788345,3470.2073,3446.992,23.21543
0,3099.3074,3075.9946,23.312752,3473.3403,3450.2961,23.04421
0,3062.4592,3041.2556,21.203608,3483.3674,3460.42,22.947443
0,3506.41,3481.7573,24.652542,3485.3052,3462.388,22.917301
0,3104.1848,3083.0125,21.172295,3476.1604,3453.206,22.954412
0,3065.914,3044.7913,21.122921,3463.5037,3440.4011,23.102566
0,3719.2085,3689.8547,29.353638,3454.311,3430.9846,23.326496
0,3265.866,3240.755,25.111015,3458.732,3435.1165,23.615362
0,3256.538,3234.1382,22.399872,3460.6792,3436.8164,23.86288
0,3340.1082,3315.7014,24.406689,3449.4146,3425.786,23.628777
0,3069.0166,3046.6255,22.390997,3447.7625,3424.368,23.394432
0,3285.2312,3262.5002,22.73095,3451.1,3427.79,23.310095
0,3438.6758,3413.6912,24.984524,3450.418,3426.8984,23.519575
0,3689.0894,3659.951,29.13832,3439.6675,3415.8179,23.84964
0,3032.9053,3008.6338,24.271383,3436.2812,3412.2605,24.02087
0,3179.8706,3156.62,23.250444,3436.9858,3413.063,23.922733
0,3259.3584,3233.802,25.556328,3432.6182,3409.284,23.3342
0,3454.202,3427.9058,26.296127,3436.966,3414.1558,22.810318
0,3244.6785,3221.7031,22.975288,3443.0786,3420.613,22.465696
0,3346.2847,3323.6716,22.612995,3439.0703,3416.597,22.473465
0,3267.9905,3242.408,25.582506,3432.8071,3410.0383,22.7687
0,3608.4421,3583.1587,25.283386,3427.4224,3404.135,23.287462
0,3040.7705,3016.7598,24.010708,3428.671,3404.965,23.70575
0,3298.8752,3275.0566,23.818657,3424.669,3400.8823,23.786602
0,3400.5137,3374.0913,26.422346,3419.6777,3395.9688,23.7091
0,3154.8108,3131.7603,23.050465,3414.5085,3391.0396,23.46905
0,2881.253,2862.1096,19.143387,3413.3103,3390.0378,23.272385
0,2965.0625,2942.9512,22.11145,3412.782,3389.5603,23.221603
0,3209.127,3185.8896,23.237347,3405.9768,3382.6455,23.33131
0,3169.6785,3144.4468,25.231735,3397.334,3374.083,23.250902
