epoch,loss,reconstruction_loss,divergence_loss,test_loss,test_rec,test_div,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,main_folder,losses_file,run
0,3985.85383,3946.9887000000003,38.865123950000005,4117.06014,4030.887365,86.1727881,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/500/0,./data/samples/single_cells/agren_liver_hepatocytes/500/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/500//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0/losses.csv,0
1,3251.200565,3217.71952,33.48103585,3546.651225,3519.4264799999996,27.22474655,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/500/0,./data/samples/single_cells/agren_liver_hepatocytes/500/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/500//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0/losses.csv,0
2,3040.998995,3008.99499,32.0040294,3431.85406,3404.8651149999996,26.988923899999996,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/500/0,./data/samples/single_cells/agren_liver_hepatocytes/500/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/500//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0/losses.csv,0
3,2926.14964,2896.41204,29.737616600000003,3345.687435,3319.85292,25.834531149999997,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/500/0,./data/samples/single_cells/agren_liver_hepatocytes/500/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/500//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0/losses.csv,0
4,2790.110235,2760.45883,29.6514101,3291.1115550000004,3265.71777,25.3937767,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/500/0,./data/samples/single_cells/agren_liver_hepatocytes/500/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/500//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0/losses.csv,0
5,2585.522675,2553.527445,31.9951929,3219.091835,3193.163325,25.9285073,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/500/0,./data/samples/single_cells/agren_liver_hepatocytes/500/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/500//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0/losses.csv,0
6,2359.305975,2324.2795699999997,35.02642385,3156.34196,3129.36214,26.979814049999998,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/500/0,./data/samples/single_cells/agren_liver_hepatocytes/500/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/500//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0/losses.csv,0
7,2156.15557,2116.99899,39.15660125,3118.43673,3089.951185,28.4855289,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/500/0,./data/samples/single_cells/agren_liver_hepatocytes/500/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/500//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0/losses.csv,0
8,1914.562675,1869.4564699999999,45.10618215,3085.544825,3055.052665,30.49214225,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/500/0,./data/samples/single_cells/agren_liver_hepatocytes/500/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/500//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0/losses.csv,0
9,1689.556955,1638.4818200000002,51.0751372,3071.500415,3039.153235,32.3471876,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/500/0,./data/samples/single_cells/agren_liver_hepatocytes/500/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/500//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_500/runs/0/losses.csv,0
