epoch,loss,reconstruction_loss,divergence_loss,test_loss,test_rec,test_div,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,main_folder,losses_file,run
10,1796.7102650000002,1758.55841,38.15186985,2710.7167249999998,2682.353915,28.362806999999997,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
11,1627.1062,1587.06518,40.041007300000004,2669.3891,2640.228245,29.16084935,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
12,1484.707525,1442.23289,42.474648,2654.22975,2624.18181,30.04795445,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
13,1362.96262,1318.026815,44.93579875,2651.48364,2620.481815,31.00178545,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
14,1223.9290150000002,1176.809015,47.11998295,2638.32398,2606.579365,31.744579550000005,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
15,1113.47851,1065.1837705,48.2947378,2633.79568,2602.04036,31.755328900000002,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
16,1011.8298755,962.7149835,49.1148986,2627.6745650000003,2595.79628,31.87828465,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
17,932.6174484999999,883.0065824999999,49.610866349999995,2625.45944,2593.463765,31.995655950000003,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
18,862.4619365000001,812.94712,49.51482205,2610.9955099999997,2579.121995,31.8735189,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
19,802.580744,753.3483165,49.23241575,2594.6866149999996,2563.2066999999997,31.479908849999997,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/0,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/0/losses.csv,0
