appendix - glandular cells,cerebellum - cells in molecular layer,colon - endothelial cells,appendix - lymphoid tissue,cerebral cortex - neuropil,skeletal_muscle_myocytes,breast - glandular cells,liver_hepatocytes,fallopian tube - glandular cells,kidney - cells in glomeruli,cerebellum - Purkinje cells,gallbladder - glandular cells,epididymis - glandular cells,lateral ventricle - glial cells,colon - glandular cells,adrenal gland - glandular cells,breast - adipocytes,lung_macrophages,cerebral cortex - endothelial cells,heart muscle - myocytes,bone marrow - hematopoietic cells,cerebral cortex - neuronal cells,hippocampus - glial cells,kidney - cells in tubules,esophagus - squamous epithelial cells,"cervix, uterine - glandular cells",cerebellum - cells in granular layer,breast - myoepithelial cells,cerebral cortex - glial cells,"cervix, uterine - squamous epithelial cells",bronchus - respiratory epithelial cells,hippocampus - neuronal cells,test_label
0.118,0.018,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.332,0.008,0.016,0.0,0.232,0.0,0.044,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,heart muscle - myocytes
0.0,0.002,0.012,0.0,0.0,0.18,0.0,0.0,0.426,0.0,0.0,0.0,0.0,0.0,0.066,0.016,0.002,0.0,0.0,0.0,0.004,0.0,0.022,0.0,0.0,0.244,0.0,0.0,0.026,0.0,0.0,0.0,bone marrow - hematopoietic cells
0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.072,0.006,0.252,0.0,0.212,0.008,0.008,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.0,cerebral cortex - neuronal cells
0.0,0.004,0.0,0.0,0.012,0.002,0.0,0.224,0.35,0.184,0.108,0.0,0.022,0.0,0.0,0.0,0.008,0.0,0.0,0.004,0.078,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,hippocampus - glial cells
0.0,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.006,0.0,0.014,0.0,0.0,0.006,0.0,0.1,0.0,0.042,0.0,0.0,0.0,0.002,0.016,0.0,0.0,0.636,0.0,0.014,0.0,kidney - cells in tubules
0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.002,0.052,0.0,0.0,0.018,0.018,0.0,0.0,0.082,0.0,0.0,0.032,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.112,0.0,esophagus - squamous epithelial cells
0.0,0.0,0.0,0.0,0.0,0.128,0.068,0.0,0.196,0.002,0.0,0.0,0.066,0.098,0.0,0.0,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208,0.0,0.02,0.0,0.0,0.052,0.0,"cervix, uterine - glandular cells"
0.0,0.02,0.0,0.0,0.058,0.0,0.0,0.0,0.084,0.0,0.366,0.0,0.0,0.0,0.0,0.0,0.236,0.0,0.012,0.0,0.008,0.0,0.194,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,cerebellum - cells in granular layer
0.0,0.152,0.0,0.0,0.162,0.0,0.0,0.0,0.008,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.022,0.0,0.0,0.188,0.038,0.0,0.0,0.008,0.002,0.2,0.0,0.0,0.066,breast - myoepithelial cells
0.0,0.01,0.0,0.02,0.04,0.0,0.002,0.0,0.258,0.0,0.042,0.0,0.0,0.408,0.044,0.0,0.002,0.0,0.056,0.038,0.0,0.0,0.018,0.0,0.0,0.026,0.02,0.01,0.006,0.0,0.0,0.0,cerebral cortex - glial cells
0.0,0.0,0.0,0.002,0.016,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.002,0.094,0.0,0.03,0.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cervix, uterine - squamous epithelial cells"
0.0,0.05,0.0,0.106,0.168,0.0,0.0,0.074,0.01,0.032,0.002,0.0,0.0,0.002,0.116,0.0,0.156,0.0,0.0,0.006,0.0,0.0,0.054,0.002,0.0,0.204,0.0,0.0,0.0,0.0,0.018,0.0,bronchus - respiratory epithelial cells
0.0,0.0,0.0,0.118,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.156,0.0,0.0,0.4,0.128,0.0,0.03,0.0,0.0,0.12,0.0,0.004,0.0,0.002,0.0,0.0,hippocampus - neuronal cells
