NC,MLP,RF-4,RF-2,label,classifier_n
1.0,1.0,0.9166666666666666,0.8676470588235294,bone_marrow_-_hematopoietic_cells_2,39
1.0,1.0,1.0,0.9852941176470589,breast_-_adipocytes_2,39
1.0,1.0,0.9705882352941176,0.9117647058823529,breast_-_myoepithelial_cells_2,39
1.0,1.0,0.9215686274509803,0.7205882352941176,bronchus_-_respiratory_epithelial_cells_2,39
1.0,1.0,1.0,1.0,cerebellum_-_cells_in_molecular_layer_2,39
1.0,1.0,0.9901960784313726,0.8921568627450981,cerebral_cortex_-_neuropil_2,39
1.0,1.0,0.9656862745098039,0.9509803921568627,"cervix,_uterine_-_glandular_cells_2",39
1.0,1.0,0.9656862745098039,0.9509803921568627,colon_-_peripheral_nerve-ganglion_2,39
1.0,1.0,0.9509803921568627,0.7941176470588235,esophagus_-_squamous_epithelial_cells_2,39
1.0,1.0,0.9852941176470589,0.9705882352941176,fallopian_tube_-_glandular_cells_2,39
0.9950980392156863,0.9901960784313726,0.9852941176470589,0.9803921568627451,gallbladder_-_glandular_cells_2,39
1.0,1.0,0.9901960784313726,0.9852941176470589,heart_muscle_-_myocytes_2,39
1.0,1.0,0.946078431372549,0.9215686274509803,hippocampus_-_glial_cells_2,39
0.9950980392156863,0.9950980392156863,0.9803921568627451,0.9754901960784313,kidney_-_cells_in_glomeruli_2,39
1.0,1.0,0.9656862745098039,0.9117647058823529,kidney_-_cells_in_tubules_2,39
1.0,1.0,0.9950980392156863,0.9558823529411765,lateral_ventricle_-_glial_cells_2,39
1.0,1.0,0.9411764705882353,0.8137254901960784,lateral_ventricle_-_neuronal_cells_2,39
1.0,1.0,0.9901960784313726,0.8676470588235294,liver_-_hepatocytes_2,39
0.9950980392156863,1.0,0.9901960784313726,0.946078431372549,lung_-_pneumocytes_2,39
1.0,1.0,0.9950980392156863,0.9509803921568627,nasopharynx_-_respiratory_epithelial_cells_2,39
1.0,1.0,0.9509803921568627,0.7401960784313726,ovary_-_follicle_cells_2,39
1.0,1.0,0.9803921568627451,0.7745098039215687,ovary_-_ovarian_stroma_cells_2,39
1.0,1.0,0.9607843137254902,0.7450980392156863,rectum_-_glandular_cells_2,39
1.0,1.0,0.9705882352941176,0.8676470588235294,salivary_gland_-_glandular_cells_2,39
1.0,1.0,0.9754901960784313,0.9656862745098039,seminal_vesicle_-_glandular_cells_2,39
1.0,1.0,0.9852941176470589,0.9754901960784313,skin_-_melanocytes_2,39
1.0,1.0,0.9656862745098039,0.8235294117647058,small_intestine_-_glandular_cells_2,39
1.0,1.0,0.9852941176470589,0.9852941176470589,soft_tissue_2_-_adipocytes_2,39
1.0,1.0,0.9901960784313726,0.9656862745098039,soft_tissue_2_-_fibroblasts_2,39
1.0,1.0,1.0,0.946078431372549,spleen_-_cells_in_white_pulp_2,39
1.0,1.0,0.9754901960784313,0.9068627450980392,"stomach,_lower_-_glandular_cells_2",39
0.9950980392156863,0.9950980392156863,1.0,0.9901960784313726,"stomach,_upper_-_glandular_cells_2",39
1.0,1.0,0.9950980392156863,0.9607843137254902,tonsil_-_germinal_center_cells_2,39
1.0,1.0,0.9852941176470589,0.9754901960784313,tonsil_-_non-germinal_center_cells_2,39
1.0,0.9950980392156863,0.9411764705882353,0.8823529411764706,tonsil_-_squamous_epithelial_cells_2,39
1.0,1.0,0.9803921568627451,0.9803921568627451,urinary_bladder_-_urothelial_cells_2,39
1.0,1.0,0.9852941176470589,0.9215686274509803,"uterus,_post-menopause_-_glandular_cells_2",39
1.0,1.0,0.9313725490196079,0.8382352941176471,"uterus,_pre-menopause_-_glandular_cells_2",39
1.0,1.0,0.9656862745098039,0.8627450980392157,vagina_-_squamous_epithelial_cells_2,39
1.0,1.0,0.9754901960784313,0.9362745098039216,vulva-anal_skin_-_epidermal_cells_2,39
1.0,1.0,0.9656862745098039,0.8676470588235294,bone_marrow_-_hematopoietic_cells_2,39
1.0,1.0,1.0,0.9950980392156863,breast_-_adipocytes_2,39
1.0,1.0,0.9803921568627451,0.9607843137254902,breast_-_myoepithelial_cells_2,39
1.0,1.0,0.9754901960784313,0.6274509803921569,bronchus_-_respiratory_epithelial_cells_2,39
1.0,1.0,0.9852941176470589,0.9852941176470589,cerebellum_-_cells_in_molecular_layer_2,39
1.0,1.0,0.9852941176470589,0.946078431372549,cerebral_cortex_-_neuropil_2,39
1.0,0.9901960784313726,0.9656862745098039,0.8578431372549019,"cervix,_uterine_-_glandular_cells_2",39
1.0,1.0,0.9754901960784313,0.946078431372549,colon_-_peripheral_nerve-ganglion_2,39
1.0,1.0,0.9313725490196079,0.9117647058823529,esophagus_-_squamous_epithelial_cells_2,39
1.0,1.0,0.9852941176470589,0.9607843137254902,fallopian_tube_-_glandular_cells_2,39
0.9950980392156863,0.9950980392156863,0.9803921568627451,0.9754901960784313,gallbladder_-_glandular_cells_2,39
1.0,1.0,0.9950980392156863,0.9852941176470589,heart_muscle_-_myocytes_2,39
1.0,1.0,0.9852941176470589,0.9068627450980392,hippocampus_-_glial_cells_2,39
0.9950980392156863,0.9950980392156863,0.9852941176470589,0.9754901960784313,kidney_-_cells_in_glomeruli_2,39
1.0,1.0,0.9803921568627451,0.9166666666666666,kidney_-_cells_in_tubules_2,39
1.0,1.0,0.9852941176470589,0.9803921568627451,lateral_ventricle_-_glial_cells_2,39
1.0,1.0,0.9509803921568627,0.8431372549019608,lateral_ventricle_-_neuronal_cells_2,39
1.0,1.0,0.9705882352941176,0.9068627450980392,liver_-_hepatocytes_2,39
0.9950980392156863,1.0,0.9901960784313726,0.9019607843137255,lung_-_pneumocytes_2,39
1.0,1.0,0.9950980392156863,0.9705882352941176,nasopharynx_-_respiratory_epithelial_cells_2,39
1.0,1.0,0.946078431372549,0.8480392156862745,ovary_-_follicle_cells_2,39
