pre,pre_std,k
159997431.3034618,2.1073424255447017e-08,1
142639078.28004083,2870278.127681958,2
130187478.24799584,3981197.7113804114,3
121109475.78419027,3128157.286765176,4
115922417.00000001,4614069.652668667,5
110396438.65351832,1651581.7420123878,6
104833100.55098304,1545315.4745723885,7
101113498.38102019,2166927.4080672488,8
97558418.9252173,623672.721774895,9
95781426.09370822,834824.7534727538,10
93410952.53157794,1529232.127707155,11
91569561.16653574,1196780.6698767699,12
89541029.44669957,1332005.840515718,13
87129622.43164381,1425708.8415606793,14
85699383.0123887,984622.3964744172,15
83913201.49242614,656222.1096216278,16
83000556.67046407,1051185.8731968396,17
81076069.56975731,1320590.9367973509,18
79919184.89913318,1905082.2305944946,19
78488691.65117729,978559.647187505,20
76634410.37274268,1234091.0657959704,21
75450788.67586961,932610.6818521187,22
74956044.50465924,1157725.215192545,23
73002245.77796963,558323.3909903917,24
72091303.33919516,756391.863391292,25
72040283.85569923,1075499.501866757,26
70741282.05075008,692421.817853364,27
69513025.65528867,639555.0516347983,28
68340501.1612829,564080.2496794768,29
68783853.58029896,904762.4970011109,30
67435394.24091606,660903.5917154439,31
67081287.762635514,744459.3399958625,32
