epoch,loss,reconstruction_loss,divergence_loss,test_loss,test_rec,test_div,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,main_folder,losses_file,run
10,1760.9140350000002,1697.14057,63.77348105,3882.5950700000003,3852.6074200000003,29.98764185,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
11,1664.8044699999998,1600.414135,64.39035325,3874.88214,3844.1630299999997,30.71910515,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
12,1552.878425,1488.32891,64.54952655,3856.55414,3825.6664600000004,30.887704000000003,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
13,1466.47739,1402.8073749999999,63.670023949999994,3843.085175,3812.63566,30.44949175,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
14,1392.560055,1329.478765,63.08130619999999,3833.80606,3803.52048,30.28559575,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
15,1328.451895,1265.810985,62.6408917,3825.371895,3795.042445,30.329445650000004,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
16,1273.336555,1211.208385,62.12817595,3817.9167800000005,3787.5880899999997,30.32869395,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
17,1217.45597,1155.698315,61.7576711,3802.8295100000005,3772.4499750000004,30.379536100000003,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
18,1171.9123949999998,1110.506485,61.405908350000004,3799.792995,3769.1030550000005,30.6899206,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
19,1128.563775,1067.43392,61.1298817,3792.47846,3761.7807999999995,30.6976886,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000/0,./data/samples/single_cells/agren_liver_hepatocytes/5000/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/5000//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_5000/runs/0/losses.csv,0
