epoch,loss,reconstruction_loss,divergence_loss,test_loss,test_rec,test_div,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,main_folder,losses_file,run,save_test_min
10,384.1536675,344.247773125,39.9058949375,3468.1882625,3443.2093625,24.978894874999998,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/100/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0/losses.csv,0,
11,370.93246531249997,332.022835,38.9096328125,3453.8433718750002,3428.967240625,24.87613328125,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/100/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0/losses.csv,0,
12,342.961951875,304.4764628125,38.4854913125,3438.5195,3413.29343125,25.226067375,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/100/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0/losses.csv,0,
13,321.2902671875,283.70711,37.5831543125,3414.600475,3389.503784375,25.09666953125,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/100/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0/losses.csv,0,
14,324.4366434375,287.469844375,36.9667965625,3408.140325,3383.14315625,24.997157625,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/100/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0/losses.csv,0,
15,294.739634375,258.0531903125,36.6864456875,3387.622459375,3362.31733125,25.30512325,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/100/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0/losses.csv,0,
16,280.25248531249997,244.496601875,35.75588596875,3368.858371875,3343.448034375,25.41036259375,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/100/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0/losses.csv,0,
17,261.0970196875,226.0335396875,35.0634798125,3351.311721875,3325.900509375,25.411232125,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/100/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0/losses.csv,0,
18,250.101609375,215.5886740625,34.5129355625,3338.81520625,3313.399896875,25.415295,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/100/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0/losses.csv,0,
19,242.1095775,208.097574375,34.01200390625,3326.28670625,3300.94104375,25.34567353125,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/0,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/100/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/ss1000/splits/100/test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/rep_b256_emb32_N1000/rep_100/runs/0/losses.csv,0,
