NC,MLP,RF-4,RF-2,label
0.6770334928229665,0.8947368421052632,0.722488038277512,0.7272727272727273,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8899521531100478,0.7320574162679426,0.7320574162679426,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8947368421052632,0.7392344497607656,0.6578947368421053,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8851674641148325,0.7200956937799043,0.6291866028708134,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8923444976076556,0.715311004784689,0.6698564593301436,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8708133971291866,0.6961722488038278,0.5382775119617225,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8923444976076556,0.7105263157894737,0.6650717703349283,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.9043062200956937,0.7464114832535885,0.6770334928229665,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8875598086124402,0.7296650717703349,0.6722488038277512,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8732057416267942,0.7129186602870813,0.6913875598086124,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8803827751196173,0.6889952153110048,0.6722488038277512,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8827751196172249,0.7296650717703349,0.6913875598086124,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8851674641148325,0.7200956937799043,0.6674641148325359,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8947368421052632,0.7105263157894737,0.5502392344497608,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8947368421052632,0.7320574162679426,0.6602870813397129,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8899521531100478,0.7392344497607656,0.6913875598086124,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.9090909090909091,0.722488038277512,0.5215311004784688,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8923444976076556,0.715311004784689,0.715311004784689,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.9138755980861244,0.7511961722488039,0.5406698564593302,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8995215311004785,0.7320574162679426,0.5861244019138756,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8732057416267942,0.7081339712918661,0.6555023923444976,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8899521531100478,0.7200956937799043,0.6626794258373205,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8899521531100478,0.715311004784689,0.6435406698564593,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8851674641148325,0.7177033492822966,0.65311004784689,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8947368421052632,0.715311004784689,0.6339712918660287,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.9090909090909091,0.7033492822966507,0.5574162679425837,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8995215311004785,0.6961722488038278,0.6507177033492823,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8923444976076556,0.7368421052631579,0.6626794258373205,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8779904306220095,0.7033492822966507,0.715311004784689,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8851674641148325,0.7177033492822966,0.6794258373205742,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.9043062200956937,0.7057416267942583,0.6004784688995215,adrenal_gland_-_glandular_cells_2
0.6770334928229665,0.8899521531100478,0.722488038277512,0.6555023923444976,adrenal_gland_-_glandular_cells_2
