epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,use_beta_S_in_test_loss,test_beta_S,main_folder,losses_file,run
10,525.1351538578681,490.34467147208125,34.79048054314721,0.0,1274.1754741116752,1246.3840025380712,27.791465395939085,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
11,473.98164370558374,439.3598001015228,34.62184190862944,0.0,1281.7662172588832,1254.8519517766497,26.91426876649746,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
12,436.2865969035533,401.88843213197964,34.39816457360406,0.0,1287.024650253807,1260.7016467005076,26.323001370558377,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
13,401.3822549746193,367.42527020304567,33.95698341624365,0.0,1288.1425604060914,1262.5168065989849,25.625746964467,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
14,372.3037207614213,338.9377625888325,33.36595790862944,0.0,1289.69458071066,1264.6735263959392,25.02104652284264,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
15,347.0322011675127,314.2193031979695,32.81289841116751,0.0,1289.1752918781726,1264.6714817258883,24.503809898477154,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
16,331.5195529441624,299.22153619289344,32.298016340101526,0.0,1291.870807106599,1267.7797944162437,24.09101042639594,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
17,313.5927166497462,281.731096142132,31.861619299492386,0.0,1291.6235685279187,1267.8580157360407,23.76555219796954,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
18,291.51454126903553,260.2792969035533,31.235244091370557,0.0,1288.759276142132,1265.4424791878173,23.31679707106599,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
19,278.9435702030457,248.2618540101523,30.681715898477155,0.0,1290.3087644670052,1267.3672705583756,22.94149695939086,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9,./data/tuner/single_cell/agren_liver_hepatocytes/N5000/b256/rep_250/runs/9/losses.csv,0
