epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,use_beta_S_in_test_loss,test_beta_S,main_folder,losses_file,run
10,387.4611089299363,353.38453048407644,34.076579208917195,0.0,1301.0955143949045,1274.025394522293,27.070120943949046,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
11,350.28280918471336,316.7006326751592,33.58217728535032,0.0,1294.0986733757961,1267.5768640764331,26.521811645859874,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
12,325.9671250828025,292.8709775159236,33.09614734012739,0.0,1293.1099138853504,1267.0202170700636,26.089693875159238,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
13,317.6058996433121,284.6442882547771,32.96161145095542,0.0,1298.106850191083,1272.1514272611464,25.955422252229297,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
14,293.2006382292994,260.5478403312102,32.65279834904459,0.0,1288.1798565605097,1262.4279740127388,25.751883410191084,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
15,269.898407566879,237.73721766878984,32.16119052484076,0.0,1278.3522011464968,1252.8772350318472,25.47496367898089,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
16,261.53255542675157,229.6572657197452,31.875289853503183,0.0,1276.860470955414,1251.5807774522293,25.279695763057322,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
17,253.47993561783437,221.7083081273885,31.771627535031847,0.0,1274.570104968153,1249.343304076433,25.226801323566878,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
18,244.24408713375797,212.62063371974523,31.62345322420382,0.0,1271.5447012738855,1246.3366484076432,25.208056410191084,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
19,227.68439105732483,196.3755009681529,31.308890252229297,0.0,1265.524827388535,1240.510258343949,25.01456885987261,0.0,32,64,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/bs/runs/0/losses.csv,0
