epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,use_beta_S_in_test_loss,test_beta_S,main_folder,losses_file,run
10,1126.3845964467005,1087.3937050761422,38.990897411167516,0.0,1340.4753898477156,1302.2567512690355,38.218639847715735,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
11,1093.439842284264,1054.8107033502538,38.629140365482236,0.0,1309.6357634517765,1271.6414898477158,37.99427336548223,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
12,1066.778537360406,1028.5590181725888,38.21951946192893,0.0,1284.3794634517767,1246.6700944162437,37.709364984771575,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
13,1045.4348172081218,1007.5870299492386,37.84778572588833,0.0,1265.6658538071065,1228.3498563451776,37.315993060913705,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
14,1028.1136732994923,990.7067308121827,37.40694198984772,0.0,1252.0629385786801,1215.1635908629441,36.89934979695431,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
15,1014.3011621827411,977.2517306598985,37.04942736040609,0.0,1240.9662370558376,1204.4569532994924,36.509279654822336,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
16,1002.7735360913705,966.1330838578681,36.640453609137055,0.0,1232.4814578680202,1196.3149223350254,36.16654191370558,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
17,992.873855786802,956.5082781218274,36.365580588832486,0.0,1226.5126908629443,1190.6803634517767,35.83233045177665,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
18,982.0715196954314,946.0472823857868,36.02424276142132,0.0,1218.5210131979695,1183.0354934010152,35.48551852791878,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
19,973.8863629949238,938.2304311167513,35.6559318071066,0.0,1212.6141192893401,1177.4748487309644,35.13927390862944,0.0,32,256,0,32,5,1e-05,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9/,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,8192,True,0.05,0.0,False,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/lr/runs/0/losses.csv,0
