test_file_n,0,1,2,3,4,5
0,0.6095181202708084,0.09657506969334927,0.0671047391477499,0.06431700517722024,0.08741537236160891,0.07506969334926324
1,0.07487056949422541,0.5894066109119872,0.0635205097570689,0.07726005575467941,0.11668657905217045,0.07825567502986858
2,0.07467144563918758,0.0913978494623656,0.5740740740740741,0.06491437674233373,0.11031461569095978,0.08462763839107926
3,0.07984866587017124,0.09717244125846276,0.08303464755077658,0.5579450418160096,0.08522500995619275,0.0967741935483871
4,0.08383114297092792,0.07845479888490642,0.08044603743528475,0.08741537236160891,0.5750696933492633,0.09478295499800876
5,0.05515730784547989,0.09099960175228992,0.07029072082835523,0.06332138590203107,0.09458383114297093,0.6256471525288729
