test_file_n,0,1,2,3,4,5,6,7,8
0,0.41975308641975306,0.11230585424133811,0.04500199123855038,0.0653126244524094,0.07268020708880923,0.1111111111111111,0.06172839506172839,0.0368379131819992,0.07526881720430108
1,0.0671047391477499,0.38689765033851053,0.05714854639585822,0.053763440860215055,0.10792512943050578,0.14456391875746716,0.09398645957785742,0.05276782158502589,0.035842293906810034
2,0.05356431700517722,0.12266029470330546,0.4044205495818399,0.030665073675826365,0.08164078056551174,0.11569095977698128,0.04898446833930705,0.04739147749900438,0.09498207885304659
3,0.07447232178414974,0.11768219832735961,0.03484667463162087,0.3747510951812027,0.10055754679410593,0.12465153325368379,0.08502588610115491,0.03225806451612903,0.05575467941059339
4,0.08980485862206292,0.11270410195141378,0.034050179211469536,0.041417761847869376,0.5005973715651135,0.08880923934687375,0.027678215850258862,0.04201513341298287,0.0629231381919554
5,0.06670649143767424,0.14356829948227798,0.045201115093588214,0.050577459179609714,0.08940661091198726,0.43548387096774194,0.0688968538430904,0.049183592194344886,0.050975706889685383
6,0.03882915173237754,0.12485065710872162,0.07865392273994425,0.047988849064117885,0.04998008761449622,0.12345679012345678,0.46455595380326564,0.023894862604540025,0.04778972520908005
7,0.07805655117483075,0.10473914774990044,0.05814416567104739,0.037037037037037035,0.09020310633213859,0.14755077658303464,0.03942652329749104,0.3839107925129431,0.06093189964157706
8,0.08462763839107926,0.10772600557546794,0.03345280764635603,0.054958183990442055,0.09816806053365193,0.11728395061728394,0.05734767025089606,0.05854241338112306,0.38789326961369974
