test_file_n,0,1,2,3,4,5
0,0.5467941059338909,0.06252489048187973,0.10931899641577061,0.0985663082437276,0.09657506969334927,0.08622062923138192
1,0.0736758263639984,0.616089207487057,0.11150935882118677,0.05714854639585822,0.08522500995619275,0.05635205097570689
2,0.10254878534448426,0.08502588610115491,0.6113102349661489,0.054161688570290724,0.08861011549183592,0.058343289526085224
3,0.06969334926324174,0.07964954201513341,0.09876543209876543,0.5909996017522899,0.07805655117483075,0.08283552369573875
4,0.10852250099561928,0.0884109916367981,0.07268020708880923,0.050577459179609714,0.6278375149342891,0.05197132616487455
5,0.08821186778176025,0.0635205097570689,0.0991636798088411,0.08940661091198726,0.07905217045001992,0.5806451612903226
