epoch,loss,reconstruction_loss,divergence_loss,stoicheometry_loss,test_loss,test_reconstruction_loss,test_divergence_loss,test_stoicheometry_loss,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,save_test_min,weight_decay,beta_S,main_folder,losses_file,run
10,513.0734833502538,474.3260049238579,38.74747654314721,0.0,1548.3612588832489,1518.7925847715735,29.568670822335026,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
11,470.34528883248737,432.4438831472081,37.90140553807107,0.0,1549.14242893401,1520.5907812182743,28.5516429035533,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
12,440.1849324365482,403.15156659898474,37.03336615228426,0.0,1551.2107446700506,1523.5549781725888,27.65576608629442,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
13,415.995764467005,379.67909436548223,36.316669959390865,0.0,1553.318588324873,1526.345902030457,26.972691274111675,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
14,394.12507086294414,358.5505584263959,35.574510923857865,0.0,1554.0582411167513,1527.7158868020306,26.342350436548223,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
15,373.64863451776654,338.7911290862944,34.85750555329949,0.0,1553.664066497462,1527.9146822335026,25.74938047715736,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
16,355.90806218274116,321.66089568527923,34.24716588832487,0.0,1554.1058279187816,1528.826181218274,25.279646852791878,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
17,340.55854050761417,306.9519259898477,33.606614137055836,0.0,1555.3709436548222,1530.5810065989847,24.789937710659895,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
18,329.92072,296.7676874619289,33.153031370558374,0.0,1557.5182725888326,1533.0402055837565,24.47806637563452,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
19,314.53875040609137,281.93084934010153,32.607900664974615,0.0,1556.6611487309644,1532.5959304568528,24.065220918781726,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
20,305.9974479187817,273.84257203045684,32.15487643654822,0.0,1559.3266675126904,1535.5502101522843,23.776462289340103,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
21,295.9791714213198,264.27999309644673,31.69917910152284,0.0,1559.1325314720812,1535.6526324873096,23.47989594923858,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
22,291.05198314720815,259.68780233502537,31.364181197969547,0.0,1563.239063959391,1539.9311593908628,23.307899086294416,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
23,278.1033253299492,247.1245385279188,30.978787421319797,0.0,1561.2777766497463,1538.240459390863,23.037323680203045,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
24,273.6062058375635,242.9508379187817,30.655368304568526,0.0,1563.6261730964466,1540.7896649746194,22.836504781725885,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
25,262.7028192385787,232.42112939086294,30.281691553299492,0.0,1562.5007187817257,1539.9027294416242,22.5979882893401,0.0,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/9,./data/samples/single_cells/agren_liver_hepatocytes/250/,131072,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/test/,4096,True,0.0001,0.0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0,./data/tuner/single_cell/agren_liver_hepatocytes/w_decay/runs/0/losses.csv,0
